-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
鞵        xie       afed      EEZG      97B5      ED50      19        革        1221251123443554134
鞶        pan       temf      PYQE      97B6      ED51      19        革        3354143554122125112
鞷        ge        kmuf      AJLE      97B7      ED52      19        革        1251254312122125112
鞸        bing      afjh      EEEB      97B8      ED53      19        革        1221251122511122112
鞹        kuo       afyb      EEYY      97B9      ED54      19        革        1221251124125152152
鞺        tang      afif      EEJB      97BA      ED55      20        革        12212511224345251121
鞻        lou       aflv      EEKZ      97BB      ED56      20        革        12212511225112512531
鞼        hui       afkm      EEAL      97BC      ED57      21        革        122125112251212511134
鞽        qiao      aftj      EEJL      97BD      ED58      21        革        122125112313425125251
鞾        xue       afaf      EEEB      97BE      ED59      19        革        1221251121221122112
鞿        ji        afxt      EEHO      97BF      ED5A      21        革        122125112554554134534
韀        jian      afyo      EEZU      97C0      ED5B      22        革        1221251124135221154444
韁        jiang     afgg      EEKK      97C1      ED5C      22        革        1221251121251211251211
韂        chan      afqy      EEOS      97C2      ED5D      22        革        1221251123513344111251
韃        ta        afdp      EEBU      97C3      ED5E      21        革        122125112121431112454
韄        hu        afac      EENX      97C4      ED5F      22        革        1221251121223241112154
韅        xian      afjx      EEZU      97C5      ED60      23        革        12212511225115545544444
韆        qian      afsp      EEGY      97C6      ED61      24        革        122125112125221134515454
韇        du        affm      EELL      97C7      ED62      24        革        122125112121252212511134
韈        wa        afat      EEHS      97C8      ED63      23        革        12212511212225221134534
韉        jian      afao      EEZU      97C9      ED64      25        革        1221251121224135221154444
韊        lan       afai      EEFL      97CA      ED65      29        革        12212511212251122511125431234
韋        wei       hnkh      XJMB      97CB      ED66      9         韋        521251152
韌        ren       fnhy      XJYS      97CC      ED67      12        韋        521251152534
韍        fu        fnhc      XJXS      97CD      ED68      14        韋        52125115213544
韎        wa        hnks      XJAF      97CE      ED69      14        韋        52125115211234
韏        quan      udhh      UBJM      97CF      ED6A      15        韋        431134521251152
韐        ge        hnkk      XJAJ      97D0      ED6B      15        韋        521251152341251
韑        wei       iqnh      KOJM      97D1      ED6C      15        韋        243135521251152
韒        shao      nhge      XJKQ      97D2      ED6D      16        韋        5212511522432511
韓        han       fjfh      EDJM      97D3      ED6E      17        韋        12251112521251152
韔        chang     hnke      XJMC      97D4      ED6F      17        韋        52125115212111534
韕        kuo       hnkb      XJJY      97D5      ED70      17        韋        52125115241251521
韖        rou       nhgs      XJMF      97D6      ED71      18        韋        521251152545231234
韗        yun       hnkl      XJWF      97D7      ED72      18        韋        521251152451251112
韘        she       nhgs      XJZF      97D8      ED73      18        韋        521251152122151234
韙        wei       jghh      KAJM      97D9      ED74      18        韋        251112134521251152
韚        ge        nhgf      XJME      97DA      ED75      18        韋        521251152122125112
韛        fu        nhge      XJML      97DB      ED76      19        韋        5212511521221325112
韜        tao       fnhv      XJPN      97DC      ED77      19        韋        5212511523443321511
韝        gou       hnkf      XJLB      97DD      ED78      19        韋        5212511521122125211
韞        yun       fnhl      XJKL      97DE      ED79      18        韋        521251152251125221
韟        gao       hnkf      XJGE      97DF      ED7A      19        韋        5212511523251113412
韠        bi        nhgh      XJEB      97E0      ED7B      19        韋        5212511522511122112
韡        xue       hnkh      XJEB      97E1      ED7C      19        韋        5212511521221122112
韢        sui       nhgn      XJFW      97E2      ED7D      21        韋        521251152125112144544
韣        du        hnkj      XJRI      97E3      ED7E      22        韋        5212511522522135251214
韤        wa        nhgt      XJHS      97E4      ED80      23        韋        52125115212225221134534
韥        du        hnkm      XJLL      97E5      ED81      24        韋        521251152121252212511134
